1	-1	114.53	570	689309520
1	-1	114.92	650	488201672
1	1	114.49	900	833180069
1	1	114.21	670	942546962
1	-1	114.41	230	814981831
1	-1	114.85	590	255055543
1	-1	114.01	800	882712483
1	-1	114.84	1010	899299952
1	-1	114.89	580	724999496
1	1	114.72	1050	311003717
1	1	114.76	540	377221250
1	-1	114.2	710	117538539
1	-1	114.71	1010	228490301
1	1	114.53	890	158056251
1	-1	114.31	270	100012533
1	-1	114.65	910	301582394
1	1	114.02	220	766309281
0	-1	0	460	890062362
0	1	0	260	850796749
1	1	114.11	290	980387822
1	1	114.22	850	134931870
0	1	0	290	655127707
0	1	0	140	293936736
0	-1	0	780	981667337
0	-1	0	640	271070560
1	-1	114.06	500	518617701
1	1	114.39	130	387349441
0	-1	0	1040	771025149
1	-1	114.5	520	283791838
0	-1	0	690	264423324
1	-1	114.23	100	867303244
0	-1	0	900	521951022
0	1	0	460	797746445
1	1	114.97	330	309366359
1	1	114.13	590	284331660
1	-1	114.72	840	127218941
1	1	114.74	270	874391614
0	-1	0	600	285603219
1	1	114.43	420	579048953
0	1	0	910	323192207
1	1	114.01	410	581802979
0	1	0	700	384111426
1	1	114.9	730	603054539
0	-1	0	650	174888353
0	-1	0	930	873038224
0	1	0	300	838597619
0	1	0	540	374512008
1	-1	114.33	360	765761334
1	-1	114.89	980	905660804
1	-1	114.97	340	557153505
